Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2018-05-11,0.001092570520461,0.0015818091942658,0.0014917951268024,0.0023807161987898,-0.52,0.001189650044612,0.0,0.0
2018-05-10,-0.00049637645190129,0.00098960910440387,-9.9443118536186e-05,0.0022867369258302,-0.16666666666667,0.0024845955078513,-0.61224489795918,0.03680981595092
2018-05-09,-0.0022781299524564,-0.00079106101058057,-0.0013902681231379,-0.0036651807825657,6.5,-0.002972651605232,8.8,0.01875
2018-05-08,0.00069382495787506,-0.0015796228650408,0.00089454328595557,0.00079310002974138,-0.81818181818182,0.00039651070578923,-0.81481481481481,-0.01840490797546
2018-05-07,-0.0040473840078973,-0.0014787066246057,-0.0037627487870086,-0.0028667457493082,-0.3125,-0.0021760633036597,-0.12903225806452,0.065359477124183
2018-05-04,0.00029623778019153,-0.0019677292404565,-0.0023708386841845,-0.0022684682907584,2.5555555555556,-0.0031551962137646,1.8181818181818,0.02
2018-05-03,-0.0039342972361562,-0.0018658548561328,-9.8775187672846e-05,0.0012838238198697,0.8,-0.00088661215643769,1.75,0.0
2018-05-02,-0.0026486168334316,-0.0034253278528088,-0.0031508467900749,-0.0029539188656953,-0.91666666666667,-0.00049231981094936,-0.94736842105263,0.47058823529412
2018-05-01,-0.0051722455352785,-0.0031219512195121,-0.0050940438871472,-0.0060677236249755,1.0,-0.0058731401722788,11.666666666667,0.0625
2018-04-30,0.0029362826661446,9.7570494682397e-05,0.0,-0.0028300966136429,2.0,-0.0029279718914697,-0.14285714285714,0.010526315789474
2018-04-27,-0.0075764934434192,-0.0059165858389913,-0.0027354435326301,0.0010746385306759,-0.85915492957746,0.0009769441187963,1.3333333333333,0.0
2018-04-26,-0.001938923897237,-0.00096899224806212,-0.0050544323483669,-0.0061170987474512,0.775,-0.0068885223634422,-0.5,0.01063829787234
2018-04-25,-0.0032853415788964,-0.004437584410573,-0.0038729666924864,-0.0044465925567907,7.0,-0.0038658548371509,-0.72727272727273,0.11904761904762
